address,bathrooms,bedrooms,build_up_m2,contract,date_posted,district,location,lot_size_m2,parcel_type,pool,property_type,price
Generaal-Majoor de Bruynewijk ,1.0,1.0,0.0,rent,2020-12-16 11:59:45+00:00,Savaneta,De Bruynewijk,0.0,,False,apartment,1432.0
Palm Beach 4 P,2.0,1.0,0.0,sale,2020-12-16 11:59:44+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,83.0,,False,condominium,409910.0
Saliña 19,6.0,6.0,0.0,sale,2020-12-16 11:59:43+00:00,Noord/Tanki Leendert,Moco/Tanki Flip,1188.0,freehold,True,house,778650.0
Wayaca ,0.0,0.0,0.0,rent,2020-12-16 11:59:41+00:00,Oranjestad Oost,Sabana Blanco/Mahuma,0.0,,False,commercial,0.0
Tanki Leendert ,2.0,3.0,0.0,rent,2020-12-16 11:59:36+00:00,Noord/Tanki Leendert,Tanki Leendert,0.0,,False,house,2982.14
Jucuri ,0.0,0.0,0.0,rent,2020-12-16 11:59:34+00:00,Santa Cruz,Papilon,0.0,,False,house,2148.0
Pos Chikito ,2.0,3.0,0.0,rent,2020-12-16 11:59:34+00:00,Savaneta,Pos Chikito,0.0,,False,house,1720.19
Pos Chikito ,4.0,5.0,0.0,rent,2020-12-16 11:59:34+00:00,Savaneta,Pos Chikito,500.0,leasehold,False,house,0.0
Palma Real ,0.0,0.0,0.0,rent,2020-12-16 11:59:34+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,house,4475.0
Casibari ,2.0,3.0,0.0,rent,2020-12-16 11:59:33+00:00,Paradera,Paradera,0.0,,False,house,2729.75
Madiki ,0.0,0.0,316.0,sale,2020-12-16 11:59:29+00:00,Oranjestad West,Madiki/Rancho,690.0,leasehold,False,apartment,1213559.1400000001
Saliña Cerca 7 R,0.0,0.0,0.0,sale,2020-12-16 11:59:27+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,600.0,freehold,False,,134250.0
Emmastraat ,0.0,0.0,0.0,sale,2020-12-16 11:59:18+00:00,Oranjestad West,Socotoro/Rancho,180.0,,False,land,66281.91
Tanki Flip 40 L,2.0,2.0,0.0,sale,2020-12-16 11:59:17+00:00,Noord/Tanki Leendert,Moco/Tanki Flip,0.0,,False,house,268321.0
Piedra Plat ,0.0,0.0,0.0,sale,2020-12-16 11:59:16+00:00,Paradera,Piedra Plat,541.0,,False,land,142995.94
Emmastraat 2,0.0,0.0,0.0,sale,2020-12-16 11:59:15+00:00,Oranjestad West,Socotoro/Rancho,330.0,,False,land,121515.94
Noord 166,4.0,5.0,0.0,sale,2020-12-16 11:59:14+00:00,Noord/Tanki Leendert,Washington,335.0,,True,house,1072210.0
Casibari 81,2.0,3.0,159.0,sale,2020-12-16 11:59:07+00:00,Paradera,Paradera,569.0,freehold,False,house,401241.03
